"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"002101030020000","脑室碘水造影","","","","","","","",,1,,,,"放射"
"00331501029","胸椎融合术","","","","","","","",,1,,,,"骨科"
"003101000270000","神经阻滞治疗","","","","","","","",,1,,,,"麻醉"
"003103000170000","调节/集合测定","","","","","","","",,1,,,,"眼科"
"003112010010100","荧光检查(会阴)","","","","","","","",,1,,,,"一般诊疗"
"003105010020000","咬合检查","","","","","","","",,1,,,,"口腔"
"004500000080700","内科妇科疾病推拿治疗(月经不调)","","","","","","","",,1,,,20,"中医治疗"
"003316020040000","浅表肿物切除术","","","","","","","",,1,10,,,"普外"
"003104010220000","平衡试验","","","","","","","",,1,,,,"耳鼻喉"
"003104010360000","电耳镜检查","","","","","","","",,1,,,,"耳鼻喉"
"004500000060000","腰椎间盘突出推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002504050050000","专项变应原(单价变应原)筛查","","","","","","","",,1,,,,"化验"
"002101030150000","小肠插管造影","","","","","","","",,1,,,,"放射"
"003105100040000","口腔局部冲洗上药","","","","","","","",,1,,,,"口腔"
"331200000000001","CCU单元治疗","","","","","","","",,1,,,,"ICU"
"001109000050100","急诊观察床位费(半日)","","","","","","","",,1,,,,"ICU"
"004400000010200","灸法(艾柱灸)","","","","","","","",,1,,,20,"中医治疗"
"002101030230000","T管造影","","","","","","","",,1,,,,"放射"
"00331501036","椎管扩大减压术","","","","","","","",,1,,,,"骨科"
"001208000010001","鼻饲管置管(注食)","","","","","","","",,1,,,,"护理"
"004500000040000","网球肘推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002101030120000","食管造影","","","","","","","",,1,,,,"放射"
"001204000060000","静脉输液","","","","","","","",,1,,,,"护理"
"003401000170100","超声波治疗(单纯超声)","","","","","","","",,1,,,20,"物理治疗"
"002103000050000","临床操作的CT引导","","","","","","","",,1,,,,"放射"
"003107010280000","血氧饱和度监测","","","","","","","",,1,24,,,"监测"
"003103000380000","角膜荧光素染色检查","","","","","","","",,1,,,,"眼科"
"001208000010002","鼻饲管置管(注药)","","","","","","","",,1,,,,"护理"
"004300000230000","穴位贴敷治疗","","","","","","","",,1,3,,20,"中医治疗"
"002101030040000","椎间盘造影","","","","","","","",,1,,,,"放射"
"003104010390000","上鼓室冲洗术","","","","","","","",,1,,,,"耳鼻喉"
"003101000320000","肉毒素注射治疗","","","","","","","",,1,,,,"一般诊疗"
"003107020140000","经食管心脏起搏术","","","","","","","",,1,,,,"一般诊疗"
"002206000040000","心脏彩色多普勒超声","","","","","","","",,1,,,,"B超"
"001109000030000","监护病房床位费","","","","","","","",,1,,,,"ICU"
"003103000160000","黑氏(Hess)屏检查","","","","","","","",,1,,,,"眼科"
"003401000010300","红外线治疗(红外线真空拔罐治疗红外线光浴治疗)","","","","","","","",,1,2,,20,"物理治疗"
"002202030010000","胃充盈及排空功能检查","","","","","","","",,1,,,,"B超"
"003104010450000","耳药物烧灼","","","","","","","",,1,,,,"耳鼻喉"
"002204000010000","颅内多普勒血流图(TCD)","","","","","","","",,1,,,,"B超"
"002203020040000","门静脉系彩色多普勒超声","","","","","","","",,1,,,,"B超"
"003107020180000","体外自动心脏变律除颤术","","","","","","","",,1,,,,"一般诊疗"
"003113000040000","持续关节腔冲洗","","","","","","","",,1,,,,"一般诊疗"
"003103000200000","色觉检查","","","","","","","",,1,,,,"眼科"
"002302000550000","骨密度测定","","","","","","","",,1,,,,"放射"
"003104010430000","波氏法咽鼓管吹张","","","","","","","",,1,,,,"耳鼻喉"
"001203000010000","氧气吸入","","","","","","","",,1,24,,,"护理"
"004400000020200","隔物灸法(药饼灸)","","","","","","","",,1,,,20,"中医治疗"
"003315230020000","皮肤牵引术","","","","","","","",,1,,,,"骨科"
"002208000080000","超声计算机图文报告","","","","","","","",,1,,,,"B超"
"003105010100000","常规面_像检查","","","","","","","",,1,,,,"口腔"
"003107010260000","周围静脉压测定","","","","","","","",,1,,,,"监测"
"003106030030000","体外膈肌起搏治疗","","","","","","","",,1,,,,"一般诊疗"
"003103000150000","线状镜检查","","","","","","","",,1,,,,"眼科"
"001217000010000","肛管排气","","","","","","","",,1,,,,"一般诊疗"
"004500000070000","膝关节骨性关节炎推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"003103000290000","眼压描记","","","","","","","",,1,,,,"眼科"
"003301000100000","硬膜外连续镇痛","","","","","","","",,1,,,,"麻醉"
"001202000010000","大抢救","","","","","","","",,1,,,,"护理"
"002203020010000","颅内段血管彩色多普勒超声","","","","","","","",,1,,,,"B超"
"003401000010200","红外线治疗(近红外线气功治疗)","","","","","","","",,1,,,20,"物理治疗"
"004400000010300","灸法(艾箱灸)","","","","","","","",,1,,,20,"中医治疗"
"003107020180100","体外自动心脏变律除颤术(半自动)","","","","","","","",,1,,,,"一般诊疗"
"004300000010200","普通针刺(快速针)","","","","","","","",,1,20,,20,"中医治疗"
"002102000010000","磁共振平扫","","","","","","","",,1,,,,"放射"
"003104010110000","镫骨活动度检测(盖来试验)","","","","","","","",,1,,,,"耳鼻喉"
"002206000010000","普通心脏M型超声检查","","","","","","","",,1,,,,"B超"
"002202030030000","胆囊和胆道收缩功能检查","","","","","","","",,1,,,,"B超"
"003104010020000","纯音听阈测定","","","","","","","",,1,,,,"耳鼻喉"
"003301000090000","侧脑室连续镇痛","","","","","","","",,1,,,,"麻醉"
"001109000050000","急诊观察床位费","","","","","","","",,1,,,,"ICU"
"001108000010000","病房空调降温费","","","","","","","",,1,,,,"一般诊疗"
"002101030170000","钡灌肠大肠造影","","","","","","","",,1,,,,"放射"
"002206000050000","常规经食管超声心动图","","","","","","","",,1,,,,"B超"
"002103000020000","X线计算机体层(CT)增强扫描","","","","","","","",,1,,,,"放射"
"003103000140000","三棱镜检查","","","","","","","",,1,,,,"眼科"
